zip,city,total
20874,GERMANTOWN,58
20852,ROCKVILLE,54
20906,SILVER SPRING,50
20877,GAITHERSBURG,47
20850,ROCKVILLE,42
20878,GAITHERSBURG,42
20904,SILVER SPRING,40
20902,SILVER SPRING,39
20910,SILVER SPRING,31
20886,MONTGOMERY VILLAGE,24
20853,ROCKVILLE,20
20879,GAITHERSBURG,20
20876,GERMANTOWN,19
20817,BETHESDA,18
20901,SILVER SPRING,18
20871,CLARKSBURG,13
20895,KENSINGTON,13
20814,BETHESDA,8
20855,DERWOOD,8
20872,DAMASCUS,8
20854,POTOMAC,7
20882,GAITHERSBURG,7
20851,ROCKVILLE,6
20903,SILVER SPRING,6
20815,CHEVY CHASE,5
20816,BETHESDA,4
20866,BURTONSVILLE,4
20905,SILVER SPRING,4
20841,BOYDS,3
20855,ROCKVILLE,3
20814,CHEVY CHASE,2
20832,OLNEY,2
20837,POOLESVILLE,2
20860,SANDY SPRING,2
20874,ROCKVILLE,2
20876,DAMASCUS,2
20877,MONTGOMERY VILLAGE,2
20707,SILVER SPRING,1
20815,BETHESDA,1
20833,BROOKEVILLE,1
20850,POTOMAC,1
20852,GERMANTOWN,1
20852,SILVER SPRING,1
20854,BETHESDA,1
20855,GERMANTOWN,1
20861,ASHTON,1
20866,SILVER SPRING,1
20871,DAMASCUS,1
20874,CLARKSBURG,1
20874,GAITHERSBURG,1
20876,ROCKVILLE,1
20877,SILVER SPRING,1
20878,OLNEY,1
20882,DAMASCUS,1
20886,GAITHERSBURG,1
20889,BETHESDA,1
20895,SILVER SPRING,1
20901,GERMANTOWN,1
20902,ROCKVILLE,1
20906,ROCKVILLE,1
21794,GERMANTOWN,1
