Laurel Crime Reports,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,Classification ,Location ,Summary,,,,,,,,,,
,1/1/23,VANDALISM,14100 Blk Baltimore Ave ,The rear windshield of a vehicle was shattered by an unknown suspect.,,,,,,,,,,
,1/1/23,STOLEN VEH,14700 Blk Shiloh Ct ,A Hyundai Elantra was stolen by damaged ignition.,,,,,,,,,,
,1/2/23,THEFT FROM AUTO,14400 Blk Laurel Pl,The catalytic converter was stolen off of a vehicle. ,,,,,,,,,,
,1/2/23,STOLEN VEH,14600 Blk Laurel Pl,A Hyundai Elantra was stolen by damaged ignition.,,,,,,,,,,
,1/2/23,THEFT REPORT,14800 Blk Baltimore Ave,Music equipment was stolen. ,,,,,,,,,,
,1/4/23,THEFT REPORT,800 Blk Fifth St,Money was stolen from the victim. ,,,,,,,,,,
,1/4/23,THEFT REPORT,14700 Blk Fourth St ,Various packages were stolen from the victim's residence.,,,,,,,,,,
,1/4/23,Theft from auto,1000 Blk Harrison Dr,A registration plate was stolen from a vehicle. ,,,,,,,,,,
,1/5/23,THEFT FROM AUTO,7800 Blk Contee Rd,Money was stolen from a vehicle. ,,,,,,,,,,
,1/5/23,ROBBERY,Irving St / Lafayette Ave,The victim was assaulted and had property taken.,,,,,,,,,,
,1/5/23,THEFT FROM AUTO,7800 Blk Contee Rd,Music equipment was stolen from a vehicle. ,,,,,,,,,,
,1/5/23,ROBBERY,13600 Blk Baltimore Ave ,The victim was assaulted and had property taken.,,,,,,,,,,
,1/6/23,STOLEN VEH,800 Blk Eighth St ,A Kia Optima was stolen by unknown means. ,,,,,,,,,,
,1/6/23,THEFT FROM AUTO,14500 Blk Greenview Dr,Tools were stolen from a truck.,,,,,,,,,,
,1/6/23,THEFT REPORT,9600 Blk Fort Meade Rd,Tobacco products were stolen. ,,,,,,,,,,
,1/6/23,THEFT REPORT,14300 Blk Baltimore Ave ,A male was observed shoplifting and arrested. ,,,,,,,,,,
,1/6/23,DUI,Eleventh St / Montrose Ave,A male was arrested for driving under the influence. ,,,,,,,,,,
,1/7/23,SHOOTING,7300 Blk Van Dusen Rd,The emergency room received a non-fatal gunshot victim.,,,,,,,,,,
,1/7/23,STOLEN VEH,8200 Blk Londonderry Ct,A Hyundai Elantra was stolen by damaged ignition.,,,,,,,,,,
,1/7/23,THEFT REPORT,900 Blk Fairlawn Ave ,An individual left without paying for services. ,,,,,,,,,,
,1/7/23,VANDALISM,8300 Blk Ashford Blvd,The exterior and ignition was damaged on a Kia. ,,,,,,,,,,
,1/7/23,THEFT REPORT,800 Blk Fifth St,A wallet was stolen from the victim. ,,,,,,,,,,
,1/7/23,STOLEN VEH,8200 Blk Harvest Bend Ln,A Hyundai Elantra was stolen by unknown means.,,,,,,,,,,
,1/7/23,THEFT FROM AUTO,9600 Blk Fort Meade Rd,Bank information was stolen from a vehicle. ,,,,,,,,,,
,1/9/23,THEFT FROM AUTO,14700 Blk Fourth St,Several items was stolen from a vehicle. ,,,,,,,,,,
,1/9/23,THEFT FROM AUTO,800 Blk Fifth St,A registration plate was stolen from a vehicle. ,,,,,,,,,,
,1/9/23,THEFT REPORT,500 Blk Main St ,A male was observed shoplifting fleeing the scene. ,,,,,,,,,,
,1/9/23,THEFT FROM AUTO,14700 Blk Fourth St ,A wallet was stolen from a vehicle.,,,,,,,,,,
,1/9/23,THEFT FROM AUTO,14700 Blk Fourth St,Multiple items were stolen from an unsecure vehicle. ,,,,,,,,,,
,1/9/23,Theft From Auto,800 Blk Fifth St,A license plate was stolen off of a vehicle. ,,,,,,,,,,
,1/9/23,THEFT J O,500 Blk Main St ,A male was observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/9/23,THEFT FROM AUTO,14700 Blk Fourth St ,Multiple items were stolen from an unsecure vehicle. ,,,,,,,,,,
,1/9/23,VANDALISM,300 Blk Marshall Ave ,A male was observed breaking into a vehicle and attempting to steal it. ,,,,,,,,,,
,1/10/23,THEFT FROM AUTO,14400 Blk Sandy Ridge Ln,Multiple items were stolen from an unsecure vehicle. ,,,,,,,,,,
,1/10/23,ROBBERY,14700 Blk Baltimore Ave ,A victim was robbed at gunpoint.,,,,,,,,,,
,1/10/23,ROBBERY,14800 Blk Belle Ami Dr,Juveniles were robbed at gunpoint.,,,,,,,,,,
,1/10/23,Stolen vehicle,800 Blk Fifth St,An Audi A8 was stolen. ,,,,,,,,,,
,1/10/23,STOLEN VEH,9100 Blk Huntington Ct ,A Kia Solara was stolen. ,,,,,,,,,,
,1/11/23,BURGLARY,14600 Blk Baltimore Ave,A male was arrested for burglary. ,,,,,,,,,,
,1/11/23,STOLEN VEH,1 Blk B St ,A Mercedes was stolen. ,,,,,,,,,,
,1/12/23,STOLEN VEH,14900 Blk Kalmia Dr,A Dodge Durango was stolen. ,,,,,,,,,,
,1/12/23,THEFT FROM AUTO,14100 Blk Cork Cor,A catalytic converter was stolen off of a vehicle. ,,,,,,,,,,
,1/13/23,THEFT FROM AUTO,15600 Blk Dorset Rd ,An airbag was stolen out of a vehicle. ,,,,,,,,,,
,1/13/23,THEFT FROM AUTO,15600 Blk Dorset Rd,An airbag was stolen out of a vehicle. ,,,,,,,,,,
,1/13/23,THEFT FROM AUTO,14300 Blk South Shore Ct,An unknown person attempted to steal a vehicle. ,,,,,,,,,,
,1/13/23,STOLEN VEH,800 Blk Fifth St,A Range Rover was stolen. ,,,,,,,,,,
,1/13/23,STOLEN VEH,13900 Blk Baltimore Ave,An unknown person was observed getting in a Hyundai Elantra and fleeing the scene. ,,,,,,,,,,
,1/13/23,BURGLARY,100 Blk Sharon Ct,An unknown person broke into a maintenance shed. ,,,,,,,,,,
,1/13/23,ROBBERY,14700 Blk Baltimore Ave ,A victim was robbed at gunpoint.,,,,,,,,,,
,1/14/23,STOLEN VEH,9300 Blk Spring House Ln ,A Hyundai Sonata was stolen. ,,,,,,,,,,
,1/14/23,STOLEN VEH,7500 Blk North Arbory Way,A Hyundai Sonata was stolen. ,,,,,,,,,,
,1/15/23,VANDALISM,14700 Blk Shiloh Ct ,An unknown person attempted to steal a vehicle. ,,,,,,,,,,
,1/15/23,VANDALISM,14100 Blk Baltimore Ave,A male was observed attempting to steal a catalytic converter. ,,,,,,,,,,
,1/16/23,THEFT FROM AUTO,900 Blk Washington Blvd ,A purse was stolen out of a vehicle. ,,,,,,,,,,
,1/16/23,STOLEN VEH,800 Blk Karen Ct ,A Kawasaki Motorcycle was stolen.,,,,,,,,,,
,1/17/23,DUI,Seventh St / Park Ave,A male was arrested for driving under the influence.,,,,,,,,,,
,1/17/23,VANDALISM,7500 Blk Old Sandy Spring Rd,City property was vandalized with spray paint. ,,,,,,,,,,
,1/17/23,THEFT REPORT,300 Blk Domer Ave,A group of juveniles were observed shoplifting and fleeing the scene. ,,,,,,,,,,
,1/17/23,THEFT FROM AUTO,300 Blk Montrose Ave,A wallet was stolen out of an unsecured vehicle. ,,,,,,,,,,
,1/17/23,THEFT FROM AUTO,14600 Blk Baltimore Ave ,Multiple items were stolen from an unsecure vehicle. ,,,,,,,,,,
,1/17/23,THEFT FROM AUTO,13600 Blk Baltimore Ave ,A suspect broke into a vehicle and stole multiple items.,,,,,,,,,,
,1/18/23,THEFT FROM AUTO,13800 Blk Vanderbilt Way,A laptop was stolen from a vehicle.,,,,,,,,,,
,1/18/23,THEFT FROM AUTO,7500 Blk South Arbory Ln,Both registrations were stolen off of a vehicle. ,,,,,,,,,,
,1/18/23,BURGLARY,100 Blk Bowie Rd,Two males broke into a business and stole several items. ,,,,,,,,,,
,1/18/23,THEFT FROM AUTO,100 Blk Bowie Rd,A registration plate was stolen off of a vehicle. ,,,,,,,,,,
,1/19/23,BURGLARY,100 Blk Bowie Rd,A male broke into a business and stole several items. ,,,,,,,,,,
,1/19/23,THEFT REPORT,300 Blk Domer Ave,Two males were observed shoplifting and arrested.,,,,,,,,,,
