year,assoc_actor_1,country,admin1,admin2,admin3,location,latitude,longitude,notes,fatalities,date_of_event
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 5,35.743,51.308,"On 1 March 2023, parents protested outside of the Sizdah Aban Girls School in Tehran - District 5 (Tehran) alleging that their children had been deliberately poisoned. During the course of the protest, plainclothes police attacked and beat at least one of the protesters.",0,2023-03-01
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 8,35.725,51.491,"On 1 March 2023, parents protested outside of the Yarjani Girls School in Tehran - District 8 (Tehran) alleging that their children had been deliberately poisoned.",0,2023-03-01
2023,Former Military Forces of Iran (1989-),Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 1 March 2023, military veterans protested in front of the Tehran City Council building in Tehran - District 12 (Tehran) over poor living conditions and oustanding insurance claims.",0,2023-03-01
2023,Labor Group (Iran),Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.319,48.684,"On 1 March 2023, retirees protested in front of the Social Security building in Ahvaz city (Khuzestan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-03-01
2023,Labor Group (Iran),Iran,Qazvin,Qazvin,Central,Qazvin,36.269,50.004,"On 1 March 2023, retirees protested in front of the governor's office in Qazvin city (Qazvin) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-03-01
2023,Women (Iran),Iran,Ardabil,Ardabil,Central,Ardabil,38.25,48.293,"On 1 March 2023, parents protested outside of the Baharan School in Ardabil city (Ardabil) alleging that their children had been deliberately poisoned.",0,2023-03-01
2023,Women (Iran),Iran,Tehran,Tehran,Central,Tehran - District 12,35.681,51.429,"On 1 March 2023, the families of arrested protesters held a rally outside the Supreme Court building in Tehran - District 12 (Tehran) calling for their family members' execution sentences to be rescinded. Many of the prisoners had been arrested during the demonstrations related to the death of Mahsa Amini.",0,2023-03-01
2023,Labor Group (Iran),Iran,Khuzestan,Shush,Central,Shush,32.194,48.244,"On 1 March 2023, retirees protested in front of the Social Security building in Shush city (Khuzestan) demanding equalization of pension payments and criticizing the poor living conditions for pensioners.",0,2023-03-01
2023,NA,Iran,Ardabil,Ardabil,Central,Ardabil,38.25,48.293,"Other: On 1 March 2023, students fell ill with varied symptoms after reportedly hearing an explosion and smelling burning in Ardabil city (Ardabil). There are accusations that the government intentionally poisoned the students, while the government and some foreign experts state that it is likely mass hysteria. These events have led to protests.",0,2023-03-01
2023,NA,Iran,Tehran,Tehran,Central,Tehran - District 8,35.725,51.491,"Other: On 1 March 2023, multiple students at the 13 Aban Girls School and multiple students at Hajar Girls High School fell ill with varied symptoms in Tehran - District 8 (Tehran) and stated there had been strange odors. Their families and others have accused the government of intentionally poisoning the girls, while the stance of the government and some foreign experts is that it is likely mass hysteria. These alleged poisonings have led to protests.",0,2023-03-01
